customer_id,created_date,canceled_date,subscription_cost,subscription_interval,was_subscription_paid
154536156,2022-09-01,,39,month,Yes
149713408,2022-09-01,2022-09-02,39,month,No
153756284,2022-09-01,2022-09-02,39,month,No
121253113,2022-09-01,2022-09-23,39,month,Yes
154467210,2022-09-01,2023-06-29,39,month,Yes
154510811,2022-09-01,2023-05-08,39,month,Yes
154494346,2022-09-01,2022-11-26,39,month,Yes
148671505,2022-09-01,2022-11-23,39,month,Yes
154568379,2022-09-01,2022-10-25,39,month,Yes
154428434,2022-09-01,2022-10-31,39,month,Yes
154601651,2022-09-01,2022-09-26,39,month,Yes
122824692,2022-09-01,2022-09-15,39,month,Yes
152925600,2022-09-02,,39,month,Yes
151154171,2022-09-02,2022-09-02,39,month,Yes
154640950,2022-09-02,2022-12-09,39,month,Yes
154617329,2022-09-02,2022-10-27,39,month,Yes
154089211,2022-09-02,2022-10-09,39,month,Yes
154653820,2022-09-02,2022-09-26,39,month,Yes
154131290,2022-09-03,,39,month,Yes
154434009,2022-09-03,,39,month,Yes
136108848,2022-09-03,2022-09-04,39,month,Yes
135185873,2022-09-03,2023-05-10,39,month,Yes
154592664,2022-09-03,2023-04-01,39,month,Yes
119436804,2022-09-03,2023-04-10,39,month,Yes
152929657,2022-09-03,2022-11-23,39,month,Yes
154708974,2022-09-03,2022-10-18,39,month,Yes
154567722,2022-09-03,2022-09-29,39,month,Yes
154719788,2022-09-03,2022-09-25,39,month,Yes
154809306,2022-09-04,2022-09-05,39,month,Yes
140391539,2022-09-04,2023-04-05,39,month,Yes
153194806,2022-09-04,2023-04-16,39,month,Yes
144402204,2022-09-04,2022-09-22,39,month,Yes
154747678,2022-09-04,2023-01-15,39,month,Yes
130939158,2022-09-04,2023-02-19,39,month,Yes
150912359,2022-09-04,2022-11-02,39,month,Yes
154132592,2022-09-04,2022-11-01,39,month,Yes
153368891,2022-09-04,2022-10-11,39,month,Yes
154225450,2022-09-05,,39,month,Yes
154904040,2022-09-05,2022-09-06,39,month,Yes
127604200,2022-09-05,2022-10-06,39,month,Yes
154913576,2022-09-05,2023-03-13,39,month,Yes
154910432,2022-09-05,2023-03-13,39,month,Yes
154911229,2022-09-05,2023-03-12,39,month,Yes
154518837,2022-09-05,2023-01-03,39,month,Yes
